DateTime,Power_Training_Predicted_Values
00:00.0,8.875378
00:00.0,14.026158
00:00.0,31.271267
00:00.0,24.905264
00:00.0,26.462116
00:00.0,23.087477
00:00.0,33.374195
00:00.0,28.494247
00:00.0,24.54968
00:00.0,24.932636
00:00.0,18.740982
00:00.0,14.332883
00:00.0,14.790334
00:00.0,15.623283
00:00.0,17.919558
00:00.0,5.8681264
00:00.0,0.9079082
00:00.0,13.473959
00:00.0,15.792074
00:00.0,17.200817
00:00.0,20.54562
00:00.0,24.32962
00:00.0,22.74854
00:00.0,23.039421
00:00.0,29.679558
00:00.0,36.794655
00:00.0,44.559963
00:00.0,35.625095
00:00.0,21.510475
00:00.0,20.478668
00:00.0,9.841384
00:00.0,12.104223
00:00.0,12.687533
00:00.0,4.1952558
00:00.0,6.2138367
00:00.0,3.6159608
00:00.0,0.46770623
00:00.0,0.16739085
00:00.0,-0.007062793
00:00.0,-0.020541966
00:00.0,-0.001473606
00:00.0,-0.08216202
00:00.0,-0.1427086
00:00.0,-0.07641852
00:00.0,-0.007218361
00:00.0,0.12275207
00:00.0,0.26021552
00:00.0,1.2024367
00:00.0,6.41374
00:00.0,22.971624
00:00.0,27.276617
00:00.0,27.287663
00:00.0,21.58249
00:00.0,27.879238
00:00.0,32.433598
00:00.0,26.685265
00:00.0,30.609112
00:00.0,31.388546
00:00.0,35.039616
00:00.0,33.323307
00:00.0,19.33345
00:00.0,18.2446
00:00.0,20.058397
00:00.0,8.455991
00:00.0,0.8401359
00:00.0,0.690311
00:00.0,1.1738727
00:00.0,4.748867
00:00.0,7.091276
00:00.0,12.755837
00:00.0,11.400729
00:00.0,13.292649
00:00.0,23.928995
00:00.0,31.836098
00:00.0,18.012814
00:00.0,24.467808
00:00.0,23.478153
00:00.0,19.318096
00:00.0,34.895382
00:00.0,44.835983
00:00.0,27.98089
00:00.0,38.201626
00:00.0,45.708195
00:00.0,32.396847
00:00.0,21.437353
00:00.0,17.809902
00:00.0,12.41376
00:00.0,11.102369
00:00.0,19.468597
00:00.0,21.53747
00:00.0,28.084782
00:00.0,30.53469
00:00.0,30.543068
00:00.0,43.25104
00:00.0,51.430832
00:00.0,51.19434
00:00.0,34.242924
00:00.0,51.534306
00:00.0,33.588398
00:00.0,38.207546
00:00.0,20.525545
00:00.0,12.299612
00:00.0,13.270388
00:00.0,10.114058
00:00.0,5.0414276
00:00.0,1.9158764
00:00.0,0.68076897
00:00.0,0.21289742
00:00.0,0.05082625
00:00.0,-0.09948206
00:00.0,-0.09880322
00:00.0,-0.029971898
00:00.0,-0.09795338
00:00.0,-0.07507789
00:00.0,0.036468744
00:00.0,0.34746596
00:00.0,1.4144282
00:00.0,2.9533684
00:00.0,4.700166
00:00.0,8.866381
00:00.0,19.232016
00:00.0,29.060745
00:00.0,30.271969
00:00.0,30.972828
00:00.0,29.34999
00:00.0,31.372074
00:00.0,30.702185
00:00.0,27.136389
00:00.0,29.604607
00:00.0,20.362377
00:00.0,14.884758
00:00.0,17.920742
00:00.0,15.242135
00:00.0,17.327034
00:00.0,21.941889
00:00.0,14.138421
00:00.0,1.3929186
00:00.0,1.3716443
00:00.0,3.303988
00:00.0,8.358649
00:00.0,17.174116
00:00.0,19.60968
00:00.0,21.201927
00:00.0,27.130579
00:00.0,39.338406
00:00.0,51.338936
00:00.0,50.56758
00:00.0,46.590336
00:00.0,37.174156
00:00.0,38.561424
00:00.0,32.195625
00:00.0,25.944174
00:00.0,19.128593
00:00.0,10.9705925
00:00.0,10.804216
00:00.0,5.1377983
00:00.0,6.811804
00:00.0,2.7683206
00:00.0,2.0432715
00:00.0,1.2734501
00:00.0,0.74403375
00:00.0,0.35866994
00:00.0,0.14488325
00:00.0,0.103057384
00:00.0,0.009184778
00:00.0,-0.025246203
00:00.0,-0.06007415
00:00.0,-0.08044678
00:00.0,-0.09039003
00:00.0,-0.34503788
00:00.0,0.09905565
00:00.0,-0.16895968
00:00.0,4.650588
00:00.0,11.867473
00:00.0,17.942532
00:00.0,18.604671
00:00.0,10.590173
00:00.0,0.79419184
00:00.0,4.9372964
00:00.0,3.7857344
00:00.0,1.1375301
00:00.0,8.672224
00:00.0,12.628093
00:00.0,12.605081
00:00.0,11.421324
00:00.0,8.045738
00:00.0,5.570738
00:00.0,0.70645344
00:00.0,0.3143035
00:00.0,0.19813225
00:00.0,0.029513836
00:00.0,0.11269629
00:00.0,0.053586304
00:00.0,0.028599918
00:00.0,0.12951791
00:00.0,0.05736971
00:00.0,0.032414198
00:00.0,0.112995386
00:00.0,0.11994204
00:00.0,3.4488766
00:00.0,1.6984034
00:00.0,4.383864
00:00.0,4.278557
00:00.0,8.449845
00:00.0,3.1401577
00:00.0,4.0945077
00:00.0,5.395837
00:00.0,3.3475063
00:00.0,3.2286649
00:00.0,4.392595
00:00.0,8.79254
00:00.0,10.851451
00:00.0,14.0264635
00:00.0,9.926542
00:00.0,12.649511
00:00.0,23.435246
00:00.0,27.219166
00:00.0,44.605015
00:00.0,34.60965
00:00.0,24.731684
00:00.0,43.956226
00:00.0,37.934875
00:00.0,28.763226
00:00.0,17.35089
00:00.0,6.0151043
00:00.0,20.34416
00:00.0,14.201053
00:00.0,10.304884
00:00.0,4.6485248
00:00.0,3.9998846
00:00.0,4.953764
00:00.0,1.5252817
00:00.0,0.40394342
00:00.0,6.5872235
00:00.0,9.967977
00:00.0,17.806376
00:00.0,11.3265
00:00.0,16.445992
00:00.0,21.347134
00:00.0,16.254385
00:00.0,11.421941
00:00.0,21.876652
00:00.0,19.529673
00:00.0,15.824415
00:00.0,10.2003565
00:00.0,4.096756
00:00.0,2.6273675
00:00.0,3.3767216
00:00.0,7.284169
00:00.0,7.0914826
00:00.0,15.847685
00:00.0,12.964951
00:00.0,26.095177
00:00.0,21.479097
00:00.0,10.614234
00:00.0,10.668847
00:00.0,1.4163592
00:00.0,2.3612847
00:00.0,2.379
00:00.0,3.086235
00:00.0,8.976218
00:00.0,8.718763
00:00.0,10.467021
00:00.0,18.617332
00:00.0,31.98681
00:00.0,35.87421
00:00.0,21.021753
00:00.0,26.907904
00:00.0,39.013237
00:00.0,28.778418
00:00.0,25.709509
00:00.0,24.1994
00:00.0,19.961626
00:00.0,14.137548
00:00.0,12.533325
00:00.0,27.086502
00:00.0,31.410143
00:00.0,26.927725
00:00.0,17.421642
00:00.0,9.447433
00:00.0,5.278187
00:00.0,6.612947
00:00.0,7.221228
00:00.0,4.650057
00:00.0,3.3584208
00:00.0,3.8996906
00:00.0,2.4273815
00:00.0,2.445892
00:00.0,5.4619417
00:00.0,9.685912
00:00.0,8.96915
00:00.0,17.188797
00:00.0,14.590817
00:00.0,6.8625307
00:00.0,5.8439116
00:00.0,3.6904535
00:00.0,2.1459103
00:00.0,0.7812453
00:00.0,0.4815638
00:00.0,0.23187402
00:00.0,0.2973503
00:00.0,2.151962
00:00.0,14.403238
00:00.0,6.350742
00:00.0,0.6091083
00:00.0,0.92139167
00:00.0,3.0727239
00:00.0,6.0482635
00:00.0,14.734848
00:00.0,19.40722
00:00.0,25.395119
00:00.0,21.370396
00:00.0,40.260757
00:00.0,55.511246
00:00.0,58.406628
00:00.0,57.212303
00:00.0,56.99071
00:00.0,56.39587
00:00.0,56.88638
00:00.0,55.695335
00:00.0,52.721737
00:00.0,38.94576
00:00.0,30.541328
00:00.0,42.017807
00:00.0,18.32078
00:00.0,29.706226
00:00.0,33.42986
00:00.0,20.18925
00:00.0,3.3253384
00:00.0,2.221975
00:00.0,1.4258687
00:00.0,3.5921638
00:00.0,1.3076246
00:00.0,3.4221022
00:00.0,2.8239496
00:00.0,3.9292307
00:00.0,7.996526
00:00.0,22.696522
00:00.0,38.229725
00:00.0,40.142803
00:00.0,36.71272
00:00.0,37.191643
00:00.0,33.990425
00:00.0,27.272928
00:00.0,9.142194
00:00.0,9.677113
00:00.0,8.08643
00:00.0,12.135333
00:00.0,13.198931
00:00.0,10.89892
00:00.0,16.394156
00:00.0,8.734925
00:00.0,7.34198
00:00.0,7.7212577
00:00.0,5.85948
00:00.0,3.9954023
00:00.0,5.132917
00:00.0,4.2172585
00:00.0,2.9669487
00:00.0,6.3393493
00:00.0,10.183767
00:00.0,17.57194
00:00.0,31.024414
00:00.0,37.641422
00:00.0,33.80777
00:00.0,26.425463
00:00.0,22.53119
00:00.0,23.156403
00:00.0,18.554848
00:00.0,9.187969
00:00.0,8.524957
00:00.0,10.168916
00:00.0,6.671246
