,DateTime,Power_Training_Predicted_Values,power_gen_1,power_gen_2,power_gen_3
119,00:00.1,24.935457,4.987091400000001,11.22095565,8.727409949999998
120,00:00.1,7.197359,1.4394718,3.23881155,2.5190756499999996
121,00:00.1,2.613814,0.5227628000000001,1.1762163,0.9148349
122,00:00.1,1.8333626,0.36667252000000006,0.8250131700000001,0.6416769099999999
123,00:00.1,2.6592815,0.5318563000000001,1.196676675,0.9307485249999999
124,00:00.1,4.3442407,0.8688481400000001,1.9549083150000002,1.520484245
125,00:00.1,6.2493005,1.2498601000000003,2.8121852250000003,2.1872551749999998
126,00:00.1,21.606707,4.3213414000000006,9.72301815,7.56234745
127,00:00.1,7.6705894,1.5341178800000002,3.45176523,2.68470629
128,00:00.1,2.9635565,0.5927113,1.3336004250000002,1.037244775
129,00:00.1,1.9613523,0.39227046,0.882608535,0.6864733049999999
130,00:00.1,8.874041,1.7748082,3.9933184500000003,3.10591435
131,00:00.2,2.143746,0.42874920000000005,0.9646857000000001,0.7503111
132,00:00.2,0.46137476,0.09227495200000001,0.207618642,0.16148116599999998
133,00:00.2,0.057312608,0.011462521600000001,0.0257906736,0.0200594128
134,00:00.2,0.056052208,0.011210441600000001,0.0252234936,0.0196182728
135,00:00.2,0.09921807,0.019843614000000002,0.0446481315,0.0347263245
136,00:00.2,0.13505024,0.027010048,0.060772608,0.047267583999999994
137,00:00.2,0.27753192,0.055506384,0.124889364,0.09713617199999999
138,00:00.2,1.0890253,0.21780506000000002,0.49006138500000007,0.381158855
139,00:00.2,1.782831,0.35656620000000006,0.80227395,0.62399085
140,00:00.2,3.1967921,0.6393584200000001,1.4385564450000001,1.118877235
141,00:00.2,1.8646595,0.3729319,0.839096775,0.6526308249999999
142,00:00.2,1.0086557,0.20173114000000003,0.45389506500000004,0.35302949499999997
143,00:00.2,0.25547588,0.051095176,0.114964146,0.089416558
144,00:00.2,0.0636158,0.01272316,0.02862711,0.02226553
145,00:00.2,0.079924345,0.015984869,0.03596595525,0.027973520749999994
