DateTime,Power_predicted_values
2024-01-17 15:00:00,14.266311
2024-01-17 16:00:00,14.493531
2024-01-17 17:00:00,4.966197
2024-01-17 18:00:00,4.276079
2024-01-17 19:00:00,1.985805
2024-01-17 20:00:00,0.8063436
2024-01-17 21:00:00,0.81966245
2024-01-17 22:00:00,0.22327667
2024-01-17 23:00:00,0.4038125
2024-01-18 00:00:00,0.6241907
2024-01-18 01:00:00,0.13289046
2024-01-18 02:00:00,0.076545686
2024-01-18 03:00:00,0.0024080873
2024-01-18 04:00:00,0.042892396
2024-01-18 05:00:00,0.021198452
2024-01-18 06:00:00,0.0031805634
2024-01-18 07:00:00,0.043307364
2024-01-18 08:00:00,0.103563696
2024-01-18 09:00:00,0.06572044
2024-01-18 10:00:00,0.22988147
2024-01-18 11:00:00,2.4793916
2024-01-18 12:00:00,5.532028
2024-01-18 13:00:00,2.7633843
2024-01-18 14:00:00,5.8307605
2024-01-18 15:00:00,7.7668896
2024-01-18 16:00:00,2.0224218
2024-01-18 17:00:00,1.004848
2024-01-18 18:00:00,3.8308914
2024-01-18 19:00:00,4.480721
2024-01-18 20:00:00,8.262647
2024-01-18 21:00:00,11.391473
2024-01-18 22:00:00,10.802034
2024-01-18 23:00:00,16.858559
2024-01-19 00:00:00,18.444916
2024-01-19 01:00:00,25.427217
2024-01-19 02:00:00,41.550793
2024-01-19 03:00:00,27.915188
2024-01-19 04:00:00,24.887234
2024-01-19 05:00:00,11.363926
2024-01-19 06:00:00,11.92835
2024-01-19 07:00:00,18.93464
2024-01-19 08:00:00,6.58342
2024-01-19 09:00:00,5.558927
2024-01-19 10:00:00,4.1147437
2024-01-19 11:00:00,0.5833509
2024-01-19 12:00:00,2.9656177
2024-01-19 13:00:00,3.2013862
2024-01-19 14:00:00,5.8708415
2024-01-19 15:00:00,6.759167
2024-01-19 16:00:00,9.877375
2024-01-19 17:00:00,4.7467012
2024-01-19 18:00:00,4.5626717
2024-01-19 19:00:00,1.5801208
2024-01-19 20:00:00,5.5599947
2024-01-19 21:00:00,21.196302
2024-01-19 22:00:00,8.521935
2024-01-19 23:00:00,21.260687
2024-01-20 00:00:00,22.303043
2024-01-20 01:00:00,36.091473
2024-01-20 02:00:00,25.685913
2024-01-20 03:00:00,16.13202
2024-01-20 04:00:00,24.696426
2024-01-20 05:00:00,44.38647
2024-01-20 06:00:00,50.50479
2024-01-20 07:00:00,45.953884
2024-01-20 08:00:00,51.23631
2024-01-20 09:00:00,53.48366
2024-01-20 10:00:00,48.685017
2024-01-20 11:00:00,52.50452
2024-01-20 12:00:00,53.896194
2024-01-20 13:00:00,50.97941
2024-01-20 14:00:00,19.980757
2024-01-20 15:00:00,15.731753
2024-01-20 16:00:00,3.8372972
2024-01-20 17:00:00,11.244071
2024-01-20 18:00:00,2.9674666
2024-01-20 19:00:00,8.677755
2024-01-20 20:00:00,4.5493245
2024-01-20 21:00:00,7.3577514
2024-01-20 22:00:00,9.4408245
2024-01-20 23:00:00,17.337156
2024-01-21 00:00:00,18.166739
2024-01-21 01:00:00,15.679851
2024-01-21 02:00:00,6.7359385
2024-01-21 03:00:00,7.4973397
2024-01-21 04:00:00,3.745001
2024-01-21 05:00:00,1.6770818
2024-01-21 06:00:00,0.9488702
2024-01-21 07:00:00,3.0663245
2024-01-21 08:00:00,2.8607662
2024-01-21 09:00:00,3.0077038
2024-01-21 10:00:00,5.107218
2024-01-21 11:00:00,16.677412
2024-01-21 12:00:00,31.07764
2024-01-21 13:00:00,42.41837
2024-01-21 14:00:00,36.27866
2024-01-21 15:00:00,43.20317
2024-01-21 16:00:00,37.155025
2024-01-21 17:00:00,35.583054
2024-01-21 18:00:00,25.681898
2024-01-21 19:00:00,27.84747
2024-01-21 20:00:00,22.76774
2024-01-21 21:00:00,29.250765
2024-01-21 22:00:00,30.274807
2024-01-21 23:00:00,37.54486
2024-01-22 00:00:00,46.924988
2024-01-22 01:00:00,49.1518
2024-01-22 02:00:00,54.3717
2024-01-22 03:00:00,56.097332
2024-01-22 04:00:00,53.674202
2024-01-22 05:00:00,55.461605
2024-01-22 06:00:00,54.056335
2024-01-22 07:00:00,57.563778
2024-01-22 08:00:00,57.6147
2024-01-22 09:00:00,58.148582
2024-01-22 10:00:00,58.916386
2024-01-22 11:00:00,56.160503
2024-01-22 12:00:00,58.787968
2024-01-22 13:00:00,30.366396
2024-01-22 14:00:00,45.848026
2024-01-22 15:00:00,50.306313
2024-01-22 16:00:00,35.926395
2024-01-22 17:00:00,40.119427
2024-01-22 18:00:00,25.604595
2024-01-22 19:00:00,19.619265
2024-01-22 20:00:00,22.387995
2024-01-22 21:00:00,16.552967
2024-01-22 22:00:00,14.872075
2024-01-22 23:00:00,16.648418
2024-01-23 00:00:00,15.518012
2024-01-23 01:00:00,29.069895
2024-01-23 02:00:00,9.623897
2024-01-23 03:00:00,12.545088
2024-01-23 04:00:00,19.822891
2024-01-23 05:00:00,26.93046
2024-01-23 06:00:00,29.571943
2024-01-23 07:00:00,24.946424
2024-01-23 08:00:00,20.197254
2024-01-23 09:00:00,16.233171
2024-01-23 10:00:00,8.184997
2024-01-23 11:00:00,2.747031
2024-01-23 12:00:00,1.5965443
2024-01-23 13:00:00,0.480582
2024-01-23 14:00:00,0.1478427
2024-01-23 15:00:00,0.50788367
2024-01-23 16:00:00,0.24223623
2024-01-23 17:00:00,-0.27438343
